筛选器分类,状态,名称,开关,冻结,锁定,颜色,线型,线宽,透明度,打印样式,打印,说明
图框及说明,默认,W-SHET-SHET,默认开,默认否,默认否,7,Continuous,默认,0,默认,T,图框、固定文字
图框及说明,默认,W-NOTE,默认开,默认否,默认否,40,Continuous,默认,0,默认,T,总说明，材料表、图纸目录内
图框及说明,默认,W-NOTE-NAME,默认开,默认否,默认否,40,Continuous,默认,0,默认,T,文字图名、比例字
图框及说明,默认,W-SHET-PROF,默认开,默认否,默认否,40,Continuous,默认,0,默认,T,专业相关文字
图框及说明,默认,W-SHET-IDGF,默认开,默认否,默认否,7,Continuous,默认,0,默认,T,电子签名
外部存放,默认,C-XRET-INT,默认开,默认否,默认否,7,Continuous,默认,0,默认,T,专业内外参放置层
外部存放,默认,C-XRET-EXT,默认开,默认否,默认否,7,Continuous,默认,0,默认,T,引用其他专业文件放置层
外参辅助,默认,C-XREF-PONT,默认开,默认否,默认否,7,Continuous,默认,0,默认,nil,外参定位点
外参辅助,默认,C-XREF-SLCT,默认开,默认否,默认否,7,Continuous,默认,0,默认,nil,外参选择框
给水,默认,W-WSUP-COOL-PIPE,默认开,默认否,默认否,3,J生活给水,默认,0,默认,T,生活冷水管线（cool water)
给水,默认,W-WSUP-COOL-PIPE1,默认开,默认否,默认否,3,J1中区生活给水,默认,0,默认,T,中区生活冷水管线（cool water)
给水,默认,W-WSUP-COOL-PIPE2,默认开,默认否,默认否,3,J2高区生活给水,默认,0,默认,T,高区生活冷水管线（cool water)
给水,默认,W-WSUP-HOT-PIPE,默认开,默认否,默认否,6,R生活热水管,默认,0,默认,T,生活热水管线（hot water)
给水,默认,W-WSUP-HOT-PIPE1,默认开,默认否,默认否,6,R1中区生活热水管,默认,0,默认,T,中区生活热水管线（hot water)
给水,默认,W-WSUP-HOT-PIPE2,默认开,默认否,默认否,6,R2高区生活热水管,默认,0,默认,T,高区生活热水管线（hot water)
给水,默认,W-WSUP-HOTR-PIPE,默认开,默认否,默认否,2,R热水回水管,默认,0,默认,T,生活热水回水管线（return pipe)
给水,默认,W-WSUP-HOTR-PIPE1,默认开,默认否,默认否,2,R1中区热水回水管,默认,0,默认,T,中区生活热水回水管线（return pipe)
给水,默认,W-WSUP-HOTR-PIPE2,默认开,默认否,默认否,2,R2高区热水回水管,默认,0,默认,T,高区生活热水回水管线（return pipe)
给水,默认,W-WSUP-HOTI-PIPE,默认开,默认否,默认否,2,RM热媒水管,默认,0,默认,T,热媒水管线（hot intermedium water)
给水,默认,W-WSUP-HOTIR-PIPE,默认开,默认否,默认否,2,RMH热媒回水管,默认,0,默认,T,热媒水回水管线
给水,默认,W-WSUP-EQPM,默认开,默认否,默认否,40,Continuous,默认,0,默认,T,给水系统设备（仅包括给电气提资的设备）
给水,默认,W-WSUP-DIMS,默认开,默认否,默认否,41,Continuous,默认,0,默认,T,给水系统标注及图面说明、不需要给其他专业提资的设备、阀门等
蒸汽,默认,W-WSUP-HOTI-PIPE1,默认开,默认否,默认否,2,Z蒸汽管,默认,0,默认,T,蒸汽管
蒸汽,默认,W-WSUP-HOTI-PIPE2,默认开,默认否,默认否,2,N蒸汽凝结水管,默认,0,默认,T,蒸汽凝结水管
饮用净水,默认,W-DRIN-PIPE,默认开,默认否,默认否,3,Continuous,默认,0,默认,T,饮用净水管线
饮用净水,默认,W-DRIR-PIPE,默认开,默认否,默认否,2,BORDER,默认,0,默认,T,饮用净水回水管线
饮用净水,默认,W-DRIN-EQPM,默认开,默认否,默认否,210,Continuous,默认,0,默认,T,饮用净水系统设备（仅包括给电气提资的设备）
饮用净水,默认,W-DRIN-DIMS,默认开,默认否,默认否,211,Continuous,默认,0,默认,T,饮用净水系统标注及图面说明、不需要给其他专业提资的设备、阀门等
排水,默认,W-DRAI-DOME-PIPE,默认开,默认否,默认否,4,DASHED,默认,0,默认,T,生活排水管线（domestic soil)
排水,默认,W-DRAI-SEWR-PIPE,默认开,默认否,默认否,2,W污水管线,默认,0,默认,T,污水管线
排水,默认,W-PRES-SEWR-PIPE,默认开,默认否,默认否,2,YW压力污水管线,默认,0,默认,T,压力污水管线
排水,默认,W-DRAI-DOME-PIPE1,默认开,默认否,默认否,2,F废水管线,默认,0,默认,T,废水管线
排水,默认,W-PRES-DOME-PIPE,默认开,默认否,默认否,2,YF压力废水管线,默认,0,默认,T,压力废水管线
排水,默认,W-DRAI-VENT-PIPE,默认开,默认否,默认否,5,CENTER2,默认,0,默认,T,通气管管线（vent pipe）
排水,默认,W-DRAI-FLDR,默认开,默认否,默认否,50,Continuous,默认,0,默认,T,地漏（floor drainage）
